product_vendor,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Wow Wipes,941,22079.890,-6284.310,-336.550,15459.030,59.250,15518.280
Violet Vibes,693,16607.510,-6458.040,-352.600,9796.870,22.610,9819.480
